0,1,ABV
Previous Close,25.27,EAI
Open,25.26,EAI
Bid,N/A x N/A,EAI
Ask,N/A x N/A,EAI
Day's Range,25.17 - 25.27,EAI
52 Week Range,25.17 - 83.13,EAI
Volume,38568,EAI
Avg. Volume,,EAI
