0,1,ABV
Previous Close,25.18,ECCY
Open,25.17,ECCY
Bid,N/A x N/A,ECCY
Ask,N/A x N/A,ECCY
Day's Range,25.17 - 25.19,ECCY
52 Week Range,25.10 - 26.32,ECCY
Volume,1175,ECCY
Avg. Volume,,ECCY
