0,1,ABV
Previous Close,25.96,DUKB
Open,26.06,DUKB
Bid,N/A x N/A,DUKB
Ask,N/A x N/A,DUKB
Day's Range,25.98 - 26.27,DUKB
52 Week Range,25.63 - 27.76,DUKB
Volume,13200,DUKB
Avg. Volume,,DUKB
