Symbol,Name,Last Price,Industry / Category,Type,Exchange,ABV
GOOG,Alphabet Inc.,2960.73,Communication Services,Stocks,NMS,ALP
GOOGL,Alphabet Inc.,2960.0,Communication Services,Stocks,NMS,ALP
AXP,American Express Company,184.16,Financial Services,Stocks,NYQ,ALP
ALB,Albemarle Corporation,221.49,Basic Materials,Stocks,NYQ,ALP
ALL,Allstate Corporation (The),117.69,Financial Services,Stocks,NYQ,ALP
AEP,American Electric Power Company,89.88,Utilities,Stocks,NMS,ALP
ARLP,"Alliance Resource Partners, L.P",13.65,Energy,Stocks,NMS,ALP
ADP,"Automatic Data Processing, Inc.",207.9,Industrials,Stocks,NMS,ALP
XLP,SPDR Select Sector Fund - Consu,76.81,,ETF,PCX,ALP
ALK,"Alaska Air Group, Inc.",54.35,Industrials,Stocks,NYQ,ALP
AOSL,Alpha and Omega Semiconductor L,46.84,Technology,Stocks,NMS,ALP
AMLP,Alerian MLP ETF,37.96,,ETF,PCX,ALP
APHLF,ALPHA LITHIUM CORPORATION,0.9,Basic Materials,Stocks,PNK,ALP
ALPP,"Alpine 4 Holdings, Inc.",1.57,Industrials,Stocks,NCM,ALP
APP,Applovin Corporation,65.22,Technology,Stocks,NMS,ALP
AMR,"Alpha Metallurgical Resources,",70.48,Basic Materials,Stocks,NYQ,ALP
ALT,"Altimmune, Inc.",7.53,Healthcare,Stocks,NGM,ALP
GLP,Global Partners LP Global Partn,27.62,Energy,Stocks,NYQ,ALP
APT,"Alpha Pro Tech, Ltd.",4.68,Industrials,Stocks,ASE,ALP
AMP,"Ameriprise Financial, Inc.",313.21,Financial Services,Stocks,NYQ,ALP
AAP,Advance Auto Parts Inc.,236.68,Consumer Cyclical,Stocks,NYQ,ALP
ALF,"ALFI, Inc.",1.74,Technology,Stocks,NCM,ALP
AFM.V,ALPHAMIN RESOURCES CORP.,1.13,Basic Materials,Stocks,VAN,ALP
ALC,Alcon Inc.,79.02,Healthcare,Stocks,NYQ,ALP
ELP,Companhia Paranaense de Energia,6.58,Utilities,Stocks,NYQ,ALP
