0,1,ABV
Previous Close,26.43,HCXY
Open,26.43,HCXY
Bid,N/A x N/A,HCXY
Ask,N/A x N/A,HCXY
Day's Range,26.11 - 26.43,HCXY
52 Week Range,25.37 - 27.50,HCXY
Volume,27,HCXY
Avg. Volume,,HCXY
