0,1,ABV
Previous Close,21.22,PYS
Open,21.93,PYS
Bid,N/A x N/A,PYS
Ask,N/A x N/A,PYS
Day's Range,21.50 - 21.50,PYS
52 Week Range,20.16 - 24.74,PYS
Volume,929,PYS
Avg. Volume,,PYS
