0,1,ABV
Previous Close,19.90,ASGI
Open,19.98,ASGI
Bid,N/A x N/A,ASGI
Ask,N/A x N/A,ASGI
Day's Range,19.89 - 20.05,ASGI
52 Week Range,18.75 - 23.00,ASGI
Volume,35409,ASGI
Avg. Volume,,ASGI
