Symbol,Name,Last Price,Industry / Category,Type,Exchange,ABV
OPK,"Opko Health, Inc.",3.23,Healthcare,Stocks,NMS,OAK
TAK,Takeda Pharmaceutical Company L,14.7,Healthcare,Stocks,NYQ,OAK
NAK,"Northern Dynasty Minerals, Ltd.",0.3,Basic Materials,Stocks,ASE,OAK
OAS,Oasis Petroleum Inc.,144.58,Energy,Stocks,NMS,OAK
OCSL,Oaktree Specialty Lending Corpo,7.68,Financial Services,Stocks,NMS,OAK
OSK,Oshkosh Corporation (Holding Co,114.15,Industrials,Stocks,NYQ,OAK
OSH,"Oak Street Health, Inc.",16.8,Healthcare,Stocks,NYQ,OAK
OAKMX,Oakmark Fund Investor Class,120.21,,Mutual Fund,NAS,OAK
BAK,Braskem SA,20.36,Basic Materials,Stocks,NYQ,OAK
OZK,Bank OZK,47.85,Financial Services,Stocks,NMS,OAK
LOB,"Live Oak Bancshares, Inc.",60.14,Financial Services,Stocks,NMS,OAK
ROGSX,Red Oak Technology Select Portf,38.99,,Mutual Fund,NAS,OAK
OAKLX,Oakmark Select Fund Investor Cl,63.08,,Mutual Fund,NAS,OAK
OAKBX,Oakmark Equity And Income Fund,33.89,,Mutual Fund,NAS,OAK
IAK,iShares U.S. Insurance ETF,87.35,,ETF,PCX,OAK
OAKIX,Oakmark International Fund Inve,28.33,,Mutual Fund,NAS,OAK
AOK,iShares Core Conservative Alloc,38.59,,ETF,PCX,OAK
OLK,Olink Holding AB (publ),16.79,Healthcare,Stocks,NGM,OAK
PAK,Global X MSCI Pakistan ETF,24.26,,ETF,PCX,OAK
AOMR,"Angel Oak Mortgage, Inc.",17.11,Real Estate,Stocks,NYQ,OAK
OACB,Oaktree Acquisition Corp. II,9.88,Financial Services,Stocks,NYQ,OAK
OANIX,Oakmark International Fund Inst,28.3,,Mutual Fund,NAS,OAK
OAYMX,Oakmark Fund Advisor Class,120.2,,Mutual Fund,NAS,OAK
ANGIX,Angel Oak Multi-Strategy Income,10.18,,Mutual Fund,NAS,OAK
OAK-PB,"Oaktree Capital Group, LLC 6.55",26.16,Financial Services,Stocks,NYQ,OAK
