Symbol,Name,Last Price,Industry / Category,Type,Exchange,ABV
BMY,Bristol-Myers Squibb Company,67.55,Healthcare,Stocks,NYQ,BML
ABML,AMERICAN BATTERY TECHNOLOGY CO,0.95,Basic Materials,Stocks,PNK,BML
BMBL,Bumble Inc.,25.19,Technology,Stocks,NMS,BML
BMO,Bank Of Montreal,114.8,Financial Services,Stocks,NYQ,BML
ML,MoneyLion Inc.,2.25,Technology,Stocks,NYQ,BML
BMA,Banco Macro S.A.,14.43,Financial Services,Stocks,NYQ,BML
BLL,Ball Corporation,90.61,Consumer Cyclical,Stocks,NYQ,BML
BL,"BlackLine, Inc.",72.12,Technology,Stocks,NMS,BML
BME,Blackrock Health Sciences Trust,42.31,Financial Services,Stocks,NYQ,BML
BNL,"Broadstone Net Lease, Inc.",21.9,Real Estate,Stocks,NYQ,BML
BMI,"Badger Meter, Inc.",101.43,Industrials,Stocks,NYQ,BML
BIL,SPDR Bloomberg 1-3 Month T-Bill,91.42,,ETF,PCX,BML
PML,Pimco Municipal Income Fund II,13.5,Financial Services,Stocks,NYQ,BML
BDL,"Flanigan's Enterprises, Inc.",29.07,Consumer Cyclical,Stocks,ASE,BML
BCML,BayCom Corp,22.59,Financial Services,Stocks,NMS,BML
EML,Eastern Company (The),23.8,Industrials,Stocks,NGM,BML
BAL,iPathA Series B Bloomberg Cotto,70.04,,ETF,PCX,BML
NML,Neuberger Berman MLP Income Fun,5.66,Financial Services,Stocks,NYQ,BML
BSL,Blackstone GSO Senior Floating,15.83,Financial Services,Stocks,NYQ,BML
BBL,BHP Group PlcSponsored,64.18,Basic Materials,Stocks,NYQ,BML
BUL,Pacer US Cash Cows Growth ETF,37.83,,ETF,PCX,BML
BSML,BSML,25.03,,Stocks,NMS,BML
IBML,iShares iBonds Dec 2023 Term Mu,25.66,,ETF,BTS,BML
BUL,BUL,24.21,,Stocks,PCX,BML
4694.T,BML INC,3345.0,Healthcare,Stocks,JPX,BML
