0,1,ABV
Previous Close,25.06,SFB
Open,25.00,SFB
Bid,N/A x N/A,SFB
Ask,N/A x N/A,SFB
Day's Range,24.65 - 24.87,SFB
52 Week Range,24.65 - 24.87,SFB
Volume,11733,SFB
Avg. Volume,,SFB
