Symbol,Name,Last Price,Industry / Category,Type,Exchange,ABV
BAC,Bank of America Corporation,46.89,Financial Services,Stocks,NYQ,BSAC
USAC,"USA Compression Partners, LP",15.71,Energy,Stocks,NYQ,BSAC
BSFC,Blue Star Foods Corp.,2.15,Consumer Defensive,Stocks,NCM,BSAC
SBAC,SBA Communications Corporation,323.57,Real Estate,Stocks,NMS,BSAC
BSAC,Banco Santander - Chile,19.79,Financial Services,Stocks,NYQ,BSAC
YSAC,Yellowstone Acquisition Company,8.67,Financial Services,Stocks,NYQ,BSAC
BWAC,Better World Acquisition Corp.,10.18,Financial Services,Stocks,NCM,BSAC
BOAC,Bluescape Opportunities Acquisi,9.81,Financial Services,Stocks,NYQ,BSAC
DSAC,Duddell Street Acquisition Corp,9.9,Financial Services,Stocks,NCM,BSAC
BFAC,Battery Future Acquisition Corp,0.0,,Stocks,NYQ,BSAC
BCAC,Brookline Capital Acquisition C,10.01,Financial Services,Stocks,NCM,BSAC
BHAC,Crixus BH3 Acquisition Company,9.94,Financial Services,Stocks,NGM,BSAC
ESAC,ESGEN Acquisition Corporation,10.38,Financial Services,Stocks,NGM,BSAC
BMAC,Black Mountain Acquisition Corp,9.87,Financial Services,Stocks,NYQ,BSAC
MSAC,Medicus Sciences Acquisition Co,9.7,Financial Services,Stocks,NCM,BSAC
BSAQ,Black Spade Acquisition Co,9.66,Financial Services,Stocks,NYQ,BSAC
GSAC,GELSTAT CORPORATION,0.0,Healthcare,Stocks,PNK,BSAC
BSC,BSC,,,ETF,PCX,BSAC
BPAC,Bullpen Parlay Acquisition Comp,9.84,Financial Services,Stocks,NGM,BSAC
VSAC,Vision Sensing Acquisition Corp,9.93,Financial Services,Stocks,NGM,BSAC
BSAE,Invesco BulletShares 2021 USD E,24.92,,ETF,NGM,BSAC
FSAC,FSAC,,,Stocks,NCM,BSAC
BRAC,BRAC,,,Stocks,NCM,BSAC
BSGC,BIGSTRING CORPORATION,0.0,Industrials,Stocks,PNK,BSAC
BSJC,BSJC,,,ETF,PCX,BSAC
