0,1,ABV
Previous Close,25.85,UNMA
Open,25.96,UNMA
Bid,N/A x N/A,UNMA
Ask,N/A x N/A,UNMA
Day's Range,25.50 - 25.96,UNMA
52 Week Range,25.31 - 27.68,UNMA
Volume,40900,UNMA
Avg. Volume,,UNMA
