0,1,ABV
Previous Close,26.57,ENBA
Open,26.38,ENBA
Bid,N/A x N/A,ENBA
Ask,N/A x N/A,ENBA
Day's Range,26.14 - 26.38,ENBA
52 Week Range,25.48 - 27.61,ENBA
Volume,38556,ENBA
Avg. Volume,,ENBA
