0,1,ABV
Previous Close,25.40,AJXA
Open,25.40,AJXA
Bid,N/A x N/A,AJXA
Ask,N/A x N/A,AJXA
Day's Range,25.26 - 25.40,AJXA
52 Week Range,24.52 - 27.02,AJXA
Volume,4314,AJXA
Avg. Volume,,AJXA
