0,1,ABV
Previous Close,28.72,RZB
Open,28.47,RZB
Bid,N/A x N/A,RZB
Ask,N/A x N/A,RZB
Day's Range,28.30 - 28.65,RZB
52 Week Range,27.01 - 30.34,RZB
Volume,18737,RZB
Avg. Volume,,RZB
