0,1,ABV
Previous Close,25.27,ENJ
Open,25.23,ENJ
Bid,N/A x N/A,ENJ
Ask,N/A x N/A,ENJ
Day's Range,25.17 - 25.30,ENJ
52 Week Range,25.02 - 26.42,ENJ
Volume,1951,ENJ
Avg. Volume,,ENJ
