0,1,ABV
Previous Close,26.13,PRS
Open,26.03,PRS
Bid,N/A x N/A,PRS
Ask,N/A x N/A,PRS
Day's Range,25.91 - 26.17,PRS
52 Week Range,25.79 - 28.24,PRS
Volume,22420,PRS
Avg. Volume,,PRS
