Symbol,Name,Last Price,Industry / Category,Type,Exchange,ABV
BILI,Bilibili Inc.,33.69,Communication Services,Stocks,NMS,BRLI
BRLIDR=X,BRL/IDR,2713.2,,Currency,CCY,BRLI
BRLINR=X,BRL/INR,14.14,,Currency,CCY,BRLI
BRLILS=X,BRL/ILS,0.6,,Currency,CCY,BRLI
BCLI,Brainstorm Cell Therapeutics In,3.15,Healthcare,Stocks,NCM,BRLI
BLI,"Berkeley Lights, Inc.",9.24,Healthcare,Stocks,NMS,BRLI
BRLT,"Brilliant Earth Group, Inc.",11.84,Consumer Cyclical,Stocks,NGM,BRLI
RLI,RLI Corp.,104.4,Financial Services,Stocks,NYQ,BRLI
BRLL,BARREL ENERGY INC,0.01,Energy,Stocks,PNK,BRLI
FRLI,FRELII INC,0.0,Healthcare,Stocks,PNK,BRLI
BRLI,Brilliant Acquisition Corporati,10.25,Financial Services,Stocks,NCM,BRLI
BRSI,BALLISTIC RECOVERY SYSTEM INC,0.0,Industrials,Stocks,PNK,BRLI
BRLIX,Bridgeway Blue Chip Fund,14.46,,Mutual Fund,NAS,BRLI
BRLIW,Brilliant Acquisition Corporati,0.17,Financial Services,Stocks,NCM,BRLI
BRLIU,Brilliant Acquisition Corporati,10.97,Financial Services,Stocks,NCM,BRLI
BRLIR,Brilliant Acquisition Corporati,0.14,,Stocks,NCM,BRLI
BLLI,BELL INDUSTRIES INC (DEL),3000.0,Technology,Stocks,PNK,BRLI
BRTI,BLACKRIDGE TECHNOLOGY INTL INC,0.0,Technology,Stocks,PNK,BRLI
BRIL,BRIL,,,ETF,PCX,BRLI
CRLI,CIRCUIT RESEARCH LABORATORIES I,0.0,Technology,Stocks,PNK,BRLI
TRLI,TRLI,0.08,,Stocks,PNK,BRLI
BRBI,BRBI,0.0,,Stocks,PNK,BRLI
BRCI,BRCI,,Consumer Goods,Stocks,PNK,BRLI
BRAI,BRAI,,,Stocks,PNK,BRLI
