0,1,ABV
Previous Close,25.25,CTBB
Open,25.25,CTBB
Bid,N/A x N/A,CTBB
Ask,N/A x N/A,CTBB
Day's Range,25.21 - 25.29,CTBB
52 Week Range,25.10 - 25.83,CTBB
Volume,43028,CTBB
Avg. Volume,,CTBB
