Symbol,Name,Last Price,Industry / Category,Type,Exchange,ABV
NTLA,"Intellia Therapeutics, Inc.",95.96,Healthcare,Stocks,NGM,DTLA
STLA,Stellantis N.V.,19.0,Consumer Cyclical,Stocks,NYQ,DTLA
DTEA,DAVIDsTEA Inc.,3.06,Consumer Defensive,Stocks,NGM,DTLA
DLA,"Delta Apparel, Inc.",30.5,Consumer Cyclical,Stocks,ASE,DTLA
DTLA-P,Brookfield DTLA Inc. 7.625% Ser,10.6,Real Estate,Stocks,NYQ,DTLA
DILA,DILA Capital Acquisition Corp.,9.78,Financial Services,Stocks,NCM,DTLA
DLTA,DELTA OIL & GAS INC,0.0,,Stocks,PNK,DTLA
GTLA,GT LEGEND AUTOMOTIVE HLDGS INC,0.0,Consumer Cyclical,Stocks,PNK,DTLA
DTLK,Datalink Corporation,,Technology,Stocks,NMS,DTLA
RTLA,RTLA,,,ETF,PCX,DTLA
DTLS,DTLS,,,Stocks,PNK,DTLA
PTLA,PTLA,,,Stocks,NMS,DTLA
