Symbol,Name,Last Price,Industry / Category,Type,Exchange,ABV
MU,"Micron Technology, Inc.",90.8,Technology,Stocks,NMS,MH
MO,"Altria Group, Inc.",51.74,Consumer Defensive,Stocks,NYQ,MH
MS,Morgan Stanley,95.42,Financial Services,Stocks,NYQ,MH
M,Macy's Inc,25.7,Consumer Cyclical,Stocks,NYQ,MH
MA,Mastercard Incorporated,369.95,Financial Services,Stocks,NYQ,MH
SMH,VanEck Semiconductor ETF,265.25,,ETF,NGM,MH
MP,MP Materials Corp.,41.31,Basic Materials,Stocks,NYQ,MH
EH,EHang Holdings Limited,14.63,Industrials,Stocks,NGM,MH
MQ,"Marqeta, Inc.",9.97,Technology,Stocks,NMS,MH
RH,RH,400.2,Consumer Cyclical,Stocks,NYQ,MH
MT,Arcelor Mittal NY Registry Shar,30.33,Basic Materials,Stocks,NYQ,MH
ME,23andMe Holding Co.,4.44,Healthcare,Stocks,NMS,MH
H,Hyatt Hotels Corporation,101.0,Consumer Cyclical,Stocks,NYQ,MH
MJ,ETFMG Alternative Harvest ETF,9.86,,ETF,PCX,MH
GH,"Guardant Health, Inc.",62.1,Healthcare,Stocks,NMS,MH
WH,"Wyndham Hotels & Resorts, Inc.",87.72,Consumer Cyclical,Stocks,NYQ,MH
MX,Magnachip Semiconductor Corpora,18.78,Technology,Stocks,NYQ,MH
SH,ProShares Short S&P500,14.79,,ETF,PCX,MH
PH,Parker-Hannifin Corporation,300.03,Industrials,Stocks,NYQ,MH
MC,Moelis & Company,48.82,Financial Services,Stocks,NYQ,MH
LH,Laboratory Corporation of Ameri,264.47,Healthcare,Stocks,NYQ,MH
ML,MoneyLion Inc.,2.25,Technology,Stocks,NYQ,MH
MHO,"M/I Homes, Inc.",48.86,Consumer Cyclical,Stocks,NYQ,MH
MD,"Mednax, Inc.",23.38,Healthcare,Stocks,NYQ,MH
MHK,"Mohawk Industries, Inc.",148.26,Consumer Cyclical,Stocks,NYQ,MH
