0,1,ABV
Previous Close,25.26,ELC
Open,25.26,ELC
Bid,N/A x N/A,ELC
Ask,N/A x N/A,ELC
Day's Range,25.20 - 25.33,ELC
52 Week Range,"25.20 - 12,800.00",ELC
Volume,25307,ELC
Avg. Volume,,ELC
