0,1,ABV
Previous Close,25.73,ARGD
Open,25.74,ARGD
Bid,N/A x N/A,ARGD
Ask,N/A x N/A,ARGD
Day's Range,25.65 - 25.83,ARGD
52 Week Range,25.14 - 26.20,ARGD
Volume,17211,ARGD
Avg. Volume,,ARGD
