Symbol,Name,Last Price,Industry / Category,Type,Exchange,ABV
PRI,"Primerica, Inc.",135.2,Financial Services,Stocks,NYQ,PRIF
PRIM,Primoris Services Corporation,26.33,Industrials,Stocks,NMS,PRIF
PROF,Profound Medical Corp.,9.51,Healthcare,Stocks,NCM,PRIF
PRF,Invesco FTSE RAFI US 1000 ETF,166.76,,ETF,PCX,PRIF
PREIF,PRECIPITATE GOLD CORP,0.09,Basic Materials,Stocks,PNK,PRIF
RRIF,RAINFOREST RESOURCES INC,2.2,Basic Materials,Stocks,PNK,PRIF
PREF,Principal Spectrum Preferred Se,19.18,,ETF,PCX,PRIF
PZRIF,PIZZA PIZZA ROYALTY CORP,9.85,Consumer Cyclical,Stocks,PNK,PRIF
PRIEF,PALEO RESOURCES INC,0.02,Energy,Stocks,PNK,PRIF
PRCF,PROTEIN REACTOR COMBINED FUELS,0.0,Consumer Defensive,Stocks,PNK,PRIF
PRIS,PRIS,,Services,Stocks,NYQ,PRIF
PRFF,PRFF,,,ETF,NGM,PRIF
PRID,PRID,,,ETF,PCX,PRIF
VPRIF,VITALITY PRODUCTS,0.07,Consumer Defensive,Stocks,PNK,PRIF
PRIFX,PRIFX,0.0,,Mutual Fund,NAS,PRIF
RIF,RIF,11.9,,Stocks,NYQ,PRIF
PBRIF,PBRIF,0.01,,Stocks,PNK,PRIF
GRIF,GRIF,62.5,,Stocks,NMS,PRIF
PRIFH,PRIFH,24.9,,Stocks,PNK,PRIF
