0,1,ABV
Previous Close,26.44,CMSC
Open,26.38,CMSC
Bid,N/A x N/A,CMSC
Ask,N/A x N/A,CMSC
Day's Range,26.35 - 26.50,CMSC
52 Week Range,25.90 - 28.27,CMSC
Volume,32770,CMSC
Avg. Volume,,CMSC
