Symbol,Name,Last Price,Industry / Category,Type,Exchange,ABV
SBRA,"Sabra Health Care REIT, Inc.",13.53,Real Estate,Stocks,NMS,SBRA
ZBRA,Zebra Technologies Corporation,420.31,Technology,Stocks,NMS,SBRA
SRRA,"Sierra Oncology, Inc.",31.71,Healthcare,Stocks,NGM,SBRA
STRA,"Strategic Education, Inc.",51.75,Consumer Defensive,Stocks,NMS,SBRA
SBR,Sabine Royalty Trust,48.56,Energy,Stocks,NYQ,SBRA
SVRA,"Savara, Inc.",1.11,Healthcare,Stocks,NMS,SBRA
SBEA,SilverBox Engaged Merger Corp I,0.0,Financial Services,Stocks,NCM,SBRA
SERA,"Sera Prognostics, Inc.",6.96,Healthcare,Stocks,NGM,SBRA
SBBA,Scorpio Tankers Inc. 7.00% Seni,24.53,,Stocks,NYQ,SBRA
SBNA,SBNA,24.99,,Stocks,NYQ,SBRA
TBRA,"Tobira Therapeutics, Inc.",,Healthcare,Stocks,NCM,SBRA
SARA,SARA,0.01,,Stocks,PNK,SBRA
SBA,SBA,0.0,,Stocks,PCX,SBRA
SBRAP,"Sabra Health Care REIT, Inc. -",,Real Estate,Stocks,NMS,SBRA
SBSA,SBSA,,,Stocks,NGM,SBRA
SBRT,SBRT,0.65,,Stocks,PNK,SBRA
SYRA,SYRA,0.0,,Stocks,OBB,SBRA
SBRAX,Segall Bryant & Hamill All Cap,21.83,,Mutual Fund,NAS,SBRA
PBRA,PBRA,7.45,,Stocks,NYQ,SBRA
SLRA,SLRA,,,Stocks,NYQ,SBRA
