Holder,Shares,Date Reported,% Out,Value,ABV
"Aristeia Capital, LLC",600000,"Mar 30, 2021",3.30%,6090000,ACKIU
Shaolin Capital Management LLC,474649,"Mar 30, 2021",2.61%,4817687,ACKIU
"Basso Capital Management, L.P.",437769,"Mar 30, 2021",2.41%,4443355,ACKIU
"Yakira Capital Management, Inc.",300000,"Mar 30, 2021",1.65%,3045000,ACKIU
"Wealthspring Capital ,LLC",281800,"Mar 30, 2021",1.55%,2860270,ACKIU
"Boothbay Fund Management, LLC",233219,"Mar 30, 2021",1.28%,2367172,ACKIU
BlueCrest Capital Management Ltd,200000,"Mar 30, 2021",1.10%,2030000,ACKIU
"Westchester Capital Management, LLC",190300,"Mar 30, 2021",1.05%,1931545,ACKIU
Magnetar Financial LLC,150000,"Mar 30, 2021",0.83%,1522500,ACKIU
CNH Partners LLC,135000,"Mar 30, 2021",0.74%,1370250,ACKIU
