Symbol,Name,Last Price,Industry / Category,Type,Exchange,ABV
AQWA,AQWA,15.33,,Stocks,NGM,AQNA
ARNA,"Arena Pharmaceuticals, Inc.",91.54,Healthcare,Stocks,NMS,AQNA
ALNA,"Allena Pharmaceuticals, Inc.",0.38,Healthcare,Stocks,NMS,AQNA
AQN,Algonquin Power & Utilities Cor,14.04,Utilities,Stocks,NYQ,AQNA
AQUA,Evoqua Water Technologies Corp.,41.81,Industrials,Stocks,NYQ,AQNA
AQWA,Global X Clean Water ETF,15.31,,ETF,NGM,AQNA
AQNU,Algonquin Power & Utilities Cor,45.89,Utilities,Stocks,NYQ,AQNA
AQNA,Algonquin Power & Utilities Cor,26.31,,Stocks,NYQ,AQNA
AMNA,ETRACS Alerian Midstream Energy,35.79,,ETF,PCX,AQNA
AQNB,Algonquin Power & Utilities Cor,26.46,,Stocks,NYQ,AQNA
AQNM,AQNM,0.01,,Stocks,PNK,AQNA
ASNA,ASNA,,,Stocks,NMS,AQNA
