0,1,ABV
Previous Close,,PRE
YTD Return,,PRE
Expense Ratio (net),,PRE
Category,,PRE
Last Cap Gain,,PRE
Morningstar Rating,,PRE
Morningstar Risk Rating,,PRE
Sustainability Rating,,PRE
