0,1,ABV
Previous Close,25.39,CTDD
Open,25.30,CTDD
Bid,N/A x N/A,CTDD
Ask,N/A x N/A,CTDD
Day's Range,25.20 - 25.38,CTDD
52 Week Range,25.15 - 26.87,CTDD
Volume,26840,CTDD
Avg. Volume,,CTDD
