0,1,ABV
Previous Close,26.75,ZIONL
Open,26.90,ZIONL
Bid,N/A x N/A,ZIONL
Ask,N/A x N/A,ZIONL
Day's Range,26.75 - 26.92,ZIONL
52 Week Range,26.62 - 29.54,ZIONL
Volume,4628,ZIONL
Avg. Volume,,ZIONL
