0,1,ABV
Previous Close,,BF
YTD Return,,BF
Expense Ratio (net),,BF
Category,,BF
Last Cap Gain,,BF
Morningstar Rating,,BF
Morningstar Risk Rating,,BF
Sustainability Rating,,BF
