Symbol,Name,Last Price,Industry / Category,Type,Exchange,ABV
SPBC,SPBC,25.0,Financial,Stocks,NMS,SFBC
FBC,"Flagstar Bancorp, Inc.",44.48,Financial Services,Stocks,NYQ,SFBC
SFNC,Simmons First National Corporat,28.68,Financial Services,Stocks,NMS,SFBC
FFBC,First Financial Bancorp.,25.34,Financial Services,Stocks,NMS,SFBC
SFBS,"ServisFirst Bancshares, Inc.",84.1,Financial Services,Stocks,NYQ,SFBC
PFBC,Preferred Bank,80.47,Financial Services,Stocks,NMS,SFBC
FSBC,Five Star Bancorp,30.02,Financial Services,Stocks,NMS,SFBC
SMBC,"Southern Missouri Bancorp, Inc.",53.95,Financial Services,Stocks,NGM,SFBC
SFBC,"Sound Financial Bancorp, Inc.",43.97,Financial Services,Stocks,NCM,SFBC
SPBC,Simplify U.S. Equity PLUS GBTC,25.96,,ETF,NGM,SFBC
IFBC,ITALIAN FOOD & BEVERAGE CORP,0.01,Consumer Defensive,Stocks,PNK,SFBC
JFBC,JEFFERSONVILLE BANCORP,22.34,Financial Services,Stocks,PNK,SFBC
SFB,Stifel Financial Corporation 5.,24.93,,ETF,NYQ,SFBC
SEBC,SOUTHEASTERN BANKING CORP,23.2,Financial Services,Stocks,PNK,SFBC
HFBC,HFBC,,,Stocks,NGM,SFBC
SFBI,SFSB INC,0.0,Financial Services,Stocks,PNK,SFBC
SFBE,SINO BIOENERGY CORP,0.01,Industrials,Stocks,PNK,SFBC
SYBC,SYBC,,,ETF,NIM,SFBC
RFBC,ROMANA FOOD BRANDS CORP,0.0,Consumer Defensive,Stocks,PNK,SFBC
SBBC,SBBC,,,ETF,NYQ,SFBC
SFBR,SAFEBRAIN SYSTEMS INC,0.0,,Stocks,PNK,SFBC
SNBC,SNBC,,,Stocks,NMS,SFBC
SBFC,SBFC,63.25,,Stocks,PNK,SFBC
SFBK,SFBK,32.66,,Stocks,PNK,SFBC
SWBC,SWBC,,Financial,Stocks,PNK,SFBC
