Symbol,Name,Last Price,Industry / Category,Type,Exchange,ABV
FB,"Meta Platforms, Inc.",237.09,Communication Services,Stocks,NMS,I
AMZN,"Amazon.com, Inc.",3152.79,Consumer Cyclical,Stocks,NMS,I
SNAP,Snap Inc.,39.0,Communication Services,Stocks,NYQ,I
F,Ford Motor Company,17.96,Consumer Cyclical,Stocks,NYQ,I
TSLA,"Tesla, Inc.",923.32,Consumer Cyclical,Stocks,NMS,I
PYPL,"PayPal Holdings, Inc.",126.08,Financial Services,Stocks,NMS,I
AAPL,Apple Inc.,172.39,Technology,Stocks,NMS,I
GOOG,Alphabet Inc.,2860.32,Communication Services,Stocks,NMS,I
NVAX,"Novavax, Inc.",89.33,Healthcare,Stocks,NMS,I
AMD,"Advanced Micro Devices, Inc.",123.6,Technology,Stocks,NMS,I
PINS,"Pinterest, Inc.",27.25,Communication Services,Stocks,NYQ,I
NIO,NIO Inc.,23.96,Consumer Cyclical,Stocks,NYQ,I
^DJI,Dow Jones Industrial Average,35089.74,,Index,DJI,I
AMC,"AMC Entertainment Holdings, Inc",15.35,Communication Services,Stocks,NYQ,I
SQ,"Block, Inc.",108.87,Technology,Stocks,NYQ,I
SHOP,Shopify Inc.,876.0,Technology,Stocks,NYQ,I
QCOM,QUALCOMM Incorporated,179.47,Technology,Stocks,NMS,I
NFLX,"Netflix, Inc.",410.17,Communication Services,Stocks,NMS,I
U,Unity Software Inc.,108.66,Technology,Stocks,NYQ,I
SENS,"Senseonics Holdings, Inc.",3.35,Healthcare,Stocks,ASE,I
T,AT&T Inc.,24.08,Communication Services,Stocks,NYQ,I
GOOGL,Alphabet Inc.,2865.86,Communication Services,Stocks,NMS,I
QQQ,"Invesco QQQ Trust, Series 1",358.01,,ETF,NGM,I
SOFI,"SoFi Technologies, Inc.",11.89,Financial Services,Stocks,NMS,I
LCID,"Lucid Group, Inc.",27.55,Consumer Cyclical,Stocks,NMS,I
