Symbol,Name,Last Price,Industry / Category,Type,Exchange,ABV
SQ,"Block, Inc.",102.84,Technology,Stocks,NYQ,SF
F,Ford Motor Company,20.17,Consumer Cyclical,Stocks,NYQ,SF
SU,Suncor Energy Inc.,29.57,Energy,Stocks,NYQ,SF
SE,Sea Limited,146.45,Communication Services,Stocks,NYQ,SF
CF,"CF Industries Holdings, Inc.",73.69,Basic Materials,Stocks,NYQ,SF
SI,Silvergate Capital Corporation,103.95,Financial Services,Stocks,NYQ,SF
SO,Southern Company (The),69.23,Utilities,Stocks,NYQ,SF
S,"SentinelOne, Inc.",41.77,Technology,Stocks,NYQ,SF
SFT,"Shift Technologies, Inc.",2.04,Consumer Cyclical,Stocks,NCM,SF
S=F,Soybeans Nov 20,903.75,,Future,CBT,SF
SM,SM Energy Company,34.36,Energy,Stocks,NYQ,SF
RF,Regions Financial Corporation,23.78,Financial Services,Stocks,NYQ,SF
SYF,Synchrony Financial,42.59,Financial Services,Stocks,NYQ,SF
SG,"Sweetgreen, Inc.",25.46,Consumer Cyclical,Stocks,NYQ,SF
SFM,"Sprouts Farmers Market, Inc.",28.83,Consumer Defensive,Stocks,NMS,SF
SB,"Safe Bulkers, Inc",3.6,Industrials,Stocks,NYQ,SF
SFL,SFL Corporation Ltd,8.32,Industrials,Stocks,NYQ,SF
SD,"SandRidge Energy, Inc.",12.01,Energy,Stocks,NYQ,SF
SH,ProShares Short S&P500,14.3,,ETF,PCX,SF
SF,Stifel Financial Corporation,77.03,Financial Services,Stocks,NYQ,SF
SR,Spire Inc.,64.78,Utilities,Stocks,NYQ,SF
ST,Sensata Technologies Holding pl,56.81,Technology,Stocks,NYQ,SF
FF,FutureFuel Corp.,7.48,Basic Materials,Stocks,NYQ,SF
SC,Santander Consumer USA Holdings,0.0,Financial Services,Stocks,NYQ,SF
LSF,"Laird Superfood, Inc.",7.26,Consumer Defensive,Stocks,ASE,SF
