0,1,ABV
Previous Close,25.87,SOJC
Open,25.73,SOJC
Bid,N/A x N/A,SOJC
Ask,N/A x N/A,SOJC
Day's Range,25.55 - 25.82,SOJC
52 Week Range,25.13 - 27.14,SOJC
Volume,27809,SOJC
Avg. Volume,,SOJC
