0,1,ABV
Previous Close,25.90,CMSA
Open,25.77,CMSA
Bid,N/A x N/A,CMSA
Ask,N/A x N/A,CMSA
Day's Range,25.75 - 26.00,CMSA
52 Week Range,25.62 - 27.87,CMSA
Volume,8748,CMSA
Avg. Volume,,CMSA
