0,1,ABV
Previous Close,,MER
YTD Return,,MER
Expense Ratio (net),,MER
Category,,MER
Last Cap Gain,,MER
Morningstar Rating,,MER
Morningstar Risk Rating,,MER
Sustainability Rating,,MER
