0,1,ABV
Previous Close,19.84,MHLA
Open,20.08,MHLA
Bid,N/A x N/A,MHLA
Ask,N/A x N/A,MHLA
Day's Range,19.21 - 20.08,MHLA
52 Week Range,19.21 - 23.17,MHLA
Volume,5122,MHLA
Avg. Volume,,MHLA
