0,1,ABV
Previous Close,26.39,BHFAL
Open,26.39,BHFAL
Bid,N/A x N/A,BHFAL
Ask,N/A x N/A,BHFAL
Day's Range,26.10 - 26.39,BHFAL
52 Week Range,25.63 - 28.44,BHFAL
Volume,33166,BHFAL
Avg. Volume,,BHFAL
