,transaction_date,owner,ticker,asset_description,asset_type,type,amount,comment,senator,ptr_link,disclosure_date
0,12/15/2021,Spouse,NVS,Novartis AG Common Stock,Stock,Sale (Full),"$1,001 - $15,000",--,Shelley M Capito,https://efdsearch.senate.gov/search/view/ptr/bfd4faf3-88b4-445a-8559-11ee5269ba7b/,01/21/2022
1,12/28/2021,Self,VZ,Verizon Communications Inc. Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,Shelley M Capito,https://efdsearch.senate.gov/search/view/ptr/bfd4faf3-88b4-445a-8559-11ee5269ba7b/,01/21/2022
2,12/21/2021,Spouse,USB,U.S. Bancorp Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
3,12/21/2021,Spouse,MSFT,Microsoft Corporation - Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
4,12/21/2021,Spouse,GILD,"Gilead Sciences, Inc. - Common Stock",Stock,Sale (Full),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
5,12/21/2021,Spouse,XOM,Exxon Mobil Corporation Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
6,12/21/2021,Spouse,CVS,CVS Health Corporation Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
7,12/21/2021,Spouse,BRK.B,Berkshire Hathaway Inc. New Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
8,12/21/2021,Spouse,BAC,Bank of America Corporation Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
9,12/21/2021,Spouse,AAPL,Apple Inc. - Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
10,12/21/2021,Spouse,PII,Polaris Inc. Common Stock,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
11,12/21/2021,Spouse,PFE,"Pfizer, Inc. Common Stock",Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
12,12/21/2021,Spouse,KMB,Kimberly-Clark Corporation Common Stock,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
13,12/21/2021,Spouse,CMCSA,Comcast Corporation - Class A Common Stock,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
14,12/21/2021,Spouse,CSCO,"Cisco Systems, Inc. - Common Stock",Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
15,12/21/2021,Spouse,CI,Cigna Corporation Common Stock,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
16,12/21/2021,Spouse,BK,The Bank of New York Mellon Corporation Common Sto,Stock,Purchase,"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
17,12/21/2021,Self,USB,U.S. Bancorp Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
18,12/21/2021,Self,MSFT,Microsoft Corporation - Common Stock,Stock,Sale (Partial),"$1,001 - $15,000",--,"Jerry Moran,",https://efdsearch.senate.gov/search/view/ptr/a8e388bc-72c5-4227-b6f3-64b7bb779883/,01/21/2022
