Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
1988-09-26,0.0,1.4314880713820457,1.4138153791427612,1.4138153791427612,69975,0.0,0.0
1988-09-27,0.0,1.4138153791427612,1.4138153791427612,1.4138153791427612,33250,0.0,0.0
1988-09-28,0.0,1.4314880713820457,1.4138153791427612,1.4138153791427612,18975,0.0,0.0
1988-09-29,0.0,1.4314880713820457,1.4138153791427612,1.4138153791427612,51875,0.0,0.0
1988-09-30,0.0,1.431485652923584,1.4138129905418113,1.431485652923584,38175,0.0,0.0
1988-10-03,0.0,1.431485652923584,1.4138129905418113,1.431485652923584,54075,0.0,0.0
1988-10-04,0.0,1.431485652923584,1.4138129905418113,1.431485652923584,22175,0.0,0.0
1988-10-05,0.0,1.431485652923584,1.4138129905418113,1.431485652923584,41975,0.0,0.0
1988-10-06,0.0,1.431485652923584,1.4138129905418113,1.431485652923584,11600,0.0,0.0
1988-10-07,0.0,1.431485652923584,1.4138129905418113,1.431485652923584,9600,0.0,0.0
1988-10-10,0.0,1.4314880713820457,1.4138153791427612,1.4138153791427612,34550,0.0,0.0
1988-10-11,0.0,1.4314880713820457,1.4138153791427612,1.4138153791427612,14700,0.0,0.0
1988-10-12,0.0,1.4314880713820457,1.4138153791427612,1.4138153791427612,45800,0.0,0.0
1988-10-13,0.0,1.4314880713820457,1.4138153791427612,1.4138153791427612,12100,0.0,0.0
1988-10-14,0.0,1.431485652923584,1.4138129905418113,1.431485652923584,172625,0.0,0.0
1988-10-17,0.0,1.4314880713820457,1.4138153791427612,1.4138153791427612,146100,0.0,0.0
1988-10-18,0.0,1.4314880713820457,1.4138153791427612,1.4138153791427612,53400,0.0,0.0
1988-10-19,0.0,1.4314880713820457,1.4138153791427612,1.4138153791427612,47625,0.0,0.0
1988-10-20,0.0,1.431485652923584,1.4138129905418113,1.431485652923584,66550,0.0,0.0
1988-10-21,0.0,1.431485652923584,1.4138129905418113,1.431485652923584,61700,0.0,0.0
1988-10-24,0.0,1.4314880713820457,1.4138153791427612,1.4138153791427612,26850,0.0,0.0
1988-10-25,0.0,1.4314880713820457,1.4138153791427612,1.4138153791427612,22375,0.0,0.0
1988-10-26,0.0,1.4314880713820457,1.4138153791427612,1.4138153791427612,11750,0.0,0.0
1988-10-27,0.0,1.4314880713820457,1.4138153791427612,1.4138153791427612,20425,0.0,0.0
1988-10-28,0.0,1.431485652923584,1.4138129905418113,1.431485652923584,19375,0.0,0.0
1988-10-31,0.0,1.431485652923584,1.4138129905418113,1.431485652923584,14025,0.0,0.0
1988-11-01,0.0,1.431485652923584,1.4138129905418113,1.431485652923584,21150,0.0,0.0
1988-11-02,0.0,1.431485652923584,1.4138129905418113,1.431485652923584,14700,0.0,0.0
1988-11-03,0.0,1.4314880713820457,1.4138153791427612,1.4138153791427612,30175,0.0,0.0
1988-11-04,0.0,1.4252172708511353,1.407402054965496,1.4252172708511353,16525,0.32,0.0
1988-11-07,0.0,1.4252144777322118,1.407399296760559,1.407399296760559,14275,0.0,0.0
1988-11-08,0.0,1.4252172708511353,1.407402054965496,1.4252172708511353,13700,0.0,0.0
1988-11-09,0.0,1.4252144777322118,1.407399296760559,1.407399296760559,16300,0.0,0.0
1988-11-10,0.0,1.4252144777322118,1.407399296760559,1.407399296760559,18250,0.0,0.0
1988-11-11,0.0,1.4252144777322118,1.407399296760559,1.407399296760559,26700,0.0,0.0
1988-11-14,0.0,1.4252144777322118,1.407399296760559,1.407399296760559,15350,0.0,0.0
1988-11-15,0.0,1.4252144777322118,1.407399296760559,1.407399296760559,17025,0.0,0.0
1988-11-16,0.0,1.4252144777322118,1.407399296760559,1.407399296760559,40950,0.0,0.0
1988-11-17,0.0,1.4252144777322118,1.407399296760559,1.407399296760559,32750,0.0,0.0
1988-11-18,0.0,1.407399296760559,1.3895841157889064,1.407399296760559,14450,0.0,0.0
1988-11-21,0.0,1.4073997277479906,1.3895845413208008,1.3895845413208008,10600,0.0,0.0
1988-11-22,0.0,1.4074013929862481,1.353955770467783,1.371770977973938,28925,0.0,0.0
