Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",91686511,2021-09-29,0.1058,4745693809,CARR
Blackrock Inc.,60571076,2021-09-29,0.0699,3135158893,CARR
Capital World Investors,60446558,2021-09-29,0.0698,3128713842,CARR
Capital Research Global Investors,59498333,2021-09-29,0.0687,3079633716,CARR
Capital International Investors,54230848,2021-09-29,0.0626,2806988692,CARR
State Street Corporation,35860260,2021-09-29,0.0414,1856127057,CARR
Nuveen Asset Management,22461599,2021-09-29,0.0259,1162612364,CARR
Dodge & Cox Inc,21742442,2021-09-29,0.025099999999999997,1125388797,CARR
Bank of America Corporation,20456442,2021-09-29,0.0236,1058825437,CARR
"Geode Capital Management, LLC",16085291,2021-09-29,0.018600000000000002,832574662,CARR
