Holder,Shares,Date Reported,% Out,Value,ABV
Polar Asset Management Partners Inc.,1485000,2021-09-29,0.099,14701500,APMIU
"Arena Capital Advisors, LLC- CA",1485000,2021-09-29,0.099,14701500,APMIU
Sculptor Capital Lp,1485000,2021-09-29,0.099,14701500,APMIU
Fortress Investment Group LLC,1000000,2021-09-29,0.0667,9900000,APMIU
683 Capital Management LLC,1000000,2021-09-29,0.0667,9900000,APMIU
"Cohanzick Management, LLC",720000,2021-09-29,0.048,7128000,APMIU
"RiverPark Advisors, LLC",520000,2021-09-29,0.0347,5148000,APMIU
"Scoggin Management, LP",500000,2021-09-29,0.0333,4950000,APMIU
Calamos Advisors LLC,500000,2021-09-29,0.0333,4950000,APMIU
CNH Partners LLC,500000,2021-09-29,0.0333,4950000,APMIU
