0,1,ABV
Net Assets,,ELC
NAV,,ELC
PE Ratio (TTM),,ELC
Yield,,ELC
YTD Daily Total Return,,ELC
Beta (5Y Monthly),,ELC
Expense Ratio (net),,ELC
Inception Date,,ELC
