Holder,Shares,Date Reported,% Out,Value,ABV
"FMR, LLC",18089108,2021-09-29,0.1573,307333944,LAUR
Kohlberg Kravis Roberts & Co. L.P.,8999608,2021-09-29,0.0783,152903339,LAUR
"Vanguard Group, Inc. (The)",8675318,2021-09-29,0.0754,147393652,LAUR
Blackrock Inc.,6646757,2021-09-29,0.057800000000000004,112928401,LAUR
Van Berkom & Associates Inc.,5892975,2021-09-29,0.0513,100121645,LAUR
Macquarie Group Limited,5586759,2021-09-29,0.048600000000000004,94919035,LAUR
Dimensional Fund Advisors LP,3369521,2021-09-29,0.029300000000000003,57248161,LAUR
"CPV Partners, LLC",3215056,2021-09-29,0.027999999999999997,54623801,LAUR
"Wellington Management Group, LLP",2919000,2021-09-29,0.0254,49593810,LAUR
"Moore Capital Management, LP",2633943,2021-09-29,0.0229,44750691,LAUR
