Holder,Shares,Date Reported,% Out,Value,ABV
State Street Corporation,6738843,2021-09-29,0.0731,34570264,KOPN
Blackrock Inc.,4823516,2021-09-29,0.052300000000000006,24744637,KOPN
"Vanguard Group, Inc. (The)",3794583,2021-09-29,0.0412,19466210,KOPN
"AWM Investment Company, Inc.",1446746,2021-09-29,0.015700000000000002,7421806,KOPN
"Two Sigma Investments, LP",1302546,2021-09-29,0.0141,6682060,KOPN
"Geode Capital Management, LLC",1299809,2021-09-29,0.0141,6668020,KOPN
"Two Sigma Advisers, LP",904113,2021-09-29,0.0098,4638099,KOPN
"Mitsubishi UFJ Kokusai Asset Management Co., Ltd",781900,2021-09-29,0.0085,4011147,KOPN
Northern Trust Corporation,757767,2021-09-29,0.008199999999999999,3887344,KOPN
Nuveen Asset Management,649373,2021-09-29,0.006999999999999999,3331283,KOPN
