Holder,Shares,Date Reported,% Out,Value,ABV
Dimensional Fund Advisors LP,1510535,2021-09-29,0.0043,104181598,PKX
Pzena Investment Management Llc,957976,2021-09-29,0.0027,66071604,PKX
Blackrock Inc.,922296,2021-09-29,0.0026,63610755,PKX
"Arrowstreet Capital, Limited Partnership",866357,2021-09-29,0.0025,59752642,PKX
State Street Corporation,654785,2021-09-29,0.0019,45160521,PKX
Parametric Portfolio Associates,444339,2021-09-29,0.0013,30646060,PKX
"Clark Capital Management Group, Inc.",443382,2021-09-29,0.0013,30580056,PKX
"Vanguard Group, Inc. (The)",352099,2021-09-29,0.001,24284268,PKX
"Greenline Partners, LLC",223490,2021-09-29,0.0006,15414105,PKX
Northern Trust Corporation,191570,2021-09-29,0.0005,13212582,PKX
