Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",60883775,2021-09-29,0.1506,3948921646,O
Blackrock Inc.,36570313,2021-09-29,0.09050000000000001,2371950501,O
State Street Corporation,28961290,2021-09-29,0.0716,1878429269,O
Bank of America Corporation,17316599,2021-09-29,0.042800000000000005,1123154611,O
Morgan Stanley,10203228,2021-09-29,0.0252,661781368,O
"Geode Capital Management, LLC",8354029,2021-09-29,0.0207,541842320,O
JP Morgan Chase & Company,6910535,2021-09-29,0.0171,448217300,O
Dimensional Fund Advisors LP,5828397,2021-09-29,0.0144,378029829,O
Northern Trust Corporation,5592635,2021-09-29,0.0138,362738306,O
Apg Asset Management Us Inc.,5478249,2021-09-29,0.013600000000000001,355319230,O
