Holder,Shares,Date Reported,% Out,Value,ABV
"FMR, LLC",19176768,2021-09-29,0.1479,230696519,YEXT
"Vanguard Group, Inc. (The)",11229321,2021-09-29,0.0866,135088731,YEXT
Blackrock Inc.,10700056,2021-12-30,0.0825,106144555,YEXT
"Champlain Investment Partners, LLC",9154700,2021-12-30,0.0706,90814624,YEXT
Janus Henderson Group PLC,6637768,2021-09-29,0.0512,79852349,YEXT
"ClearBridge Investments, LLC",4847609,2021-12-30,0.0374,48088281,YEXT
State Street Corporation,2522425,2021-09-29,0.0194,30344772,YEXT
Bank Of New York Mellon Corporation,2190243,2021-12-30,0.0169,21727210,YEXT
"Invus Financial Advisors, LLC",2146785,2021-09-29,0.0166,25825823,YEXT
"Geode Capital Management, LLC",1891583,2021-12-30,0.0146,18764503,YEXT
