Holder,Shares,Date Reported,% Out,Value,ABV
"NEA Management Company, LLC",3952958,2021-09-29,0.115,24429280,AVEO
AIGH Capital Management LLC,1986176,2021-09-29,0.057800000000000004,12274567,AVEO
"J. Goldman & Co., L.P.",1663229,2021-09-29,0.0484,10278755,AVEO
Adage Capital Partners GP L.L.C.,1500000,2021-09-29,0.0436,9270000,AVEO
"Vanguard Group, Inc. (The)",1456230,2021-09-29,0.0424,8999501,AVEO
Millennium Management LLC,701275,2021-09-29,0.0204,4333879,AVEO
Blackrock Inc.,532605,2021-09-29,0.0155,3291498,AVEO
Opaleye Management Inc.,455600,2021-09-29,0.013300000000000001,2815608,AVEO
"Worth Venture Partners, LLC",454364,2021-09-29,0.0132,2807969,AVEO
"Susquehanna International Group, LLP",412162,2021-09-29,0.012,2547161,AVEO
