Holder,Shares,Date Reported,% Out,Value,ABV
Kayne Anderson Rudnick Investment Management LLC,12444209,2021-09-29,0.0977,584006728,ATHM
Invesco Ltd.,5371982,2021-09-29,0.042199999999999994,252107115,ATHM
Mondrian Investment Partners Ltd,4526403,2021-09-29,0.0355,212424092,ATHM
Comgest Global Investors S.A.S.,4296290,2021-09-29,0.0337,201624889,ATHM
Lazard Asset Management LLC,3712212,2021-09-29,0.0292,174214109,ATHM
Blackrock Inc.,3451105,2021-09-29,0.0271,161960357,ATHM
FIL LTD,3202334,2021-09-29,0.025099999999999997,150285534,ATHM
Baillie Gifford and Company,2979984,2021-09-29,0.023399999999999997,139850649,ATHM
"Vanguard Group, Inc. (The)",1926050,2021-09-29,0.0151,90389526,ATHM
Orbis Allan Gray Ltd,1887024,2021-09-29,0.0148,88558036,ATHM
