Holder,Shares,Date Reported,% Out,Value,ABV
"Wealthtrust Axiom, LLC",1172932,2021-09-29,0.068,8233982,ISSC
"Renaissance Technologies, LLC",503210,2021-09-29,0.0292,3532534,ISSC
"Vanguard Group, Inc. (The)",435224,2021-09-29,0.0252,3055272,ISSC
Blackrock Inc.,404136,2021-09-29,0.023399999999999997,2837034,ISSC
Dimensional Fund Advisors LP,352401,2021-09-29,0.0204,2473855,ISSC
Overbrook Management Corp,187113,2021-09-29,0.0108,1313533,ISSC
Morgan Stanley,117315,2021-09-29,0.0068000000000000005,823551,ISSC
Gamco Investors Inc,106409,2021-09-29,0.0062,746991,ISSC
"Teton Advisors, Inc",106000,2021-09-29,0.0060999999999999995,744120,ISSC
"Bridgeway Capital Management, Inc.",98500,2021-09-29,0.005699999999999999,691470,ISSC
