Holder,Shares,Date Reported,% Out,Value,ABV
"Wellington Management Group, LLP",9305450,2021-09-29,0.1176,203324082,VNOM
"EnCap Energy Capital Fund IX, LP",4563042,2021-09-29,0.057699999999999994,99702467,VNOM
Goldman Sachs Group Inc,2820644,2021-09-29,0.0356,61631071,VNOM
Cardinal Capital Management LLC,2780414,2021-09-29,0.0351,60752045,VNOM
Eagle Asset Management Inc,2462842,2021-09-29,0.0311,53813097,VNOM
Bank Of New York Mellon Corporation,2458876,2021-09-29,0.0311,53726440,VNOM
Massachusetts Financial Services Co.,2309349,2021-09-29,0.0292,50459275,VNOM
Boston Partners,1713953,2021-09-29,0.0217,37449873,VNOM
Capital World Investors,1455000,2021-09-29,0.0184,31791750,VNOM
Morgan Stanley,1445632,2021-09-29,0.0183,31587059,VNOM
