0,1,ABV
Net Assets,,DUKB
NAV,,DUKB
PE Ratio (TTM),,DUKB
Yield,,DUKB
YTD Daily Total Return,,DUKB
Beta (5Y Monthly),,DUKB
Expense Ratio (net),,DUKB
Inception Date,,DUKB
