Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",6006136,2021-09-29,0.09849999999999999,371599634,MC
Kayne Anderson Rudnick Investment Management LLC,5752553,2021-09-29,0.0944,355910454,MC
Blackrock Inc.,4561819,2021-09-29,0.0748,282239741,MC
"London Company of Virginia, (The)",3587257,2021-09-29,0.0588,221943590,MC
JP Morgan Chase & Company,2142659,2021-09-29,0.0351,132566312,MC
"AllianceBernstein, L.P.",2098033,2021-09-29,0.0344,129805301,MC
Timucuan Asset Management Inc.,2041626,2021-09-29,0.0335,126315400,MC
"Federated Hermes, Inc.",1827127,2021-09-29,0.03,113044347,MC
Artisan Partners Limited Partnership,1780369,2021-09-29,0.0292,110151430,MC
Westwood Holdings Group Inc.,1243675,2021-09-29,0.0204,76946172,MC
