Holder,Shares,Date Reported,% Out,Value,ABV
iShares Preferred & Income Securities ETF,1343999,2021-10-30,0.084,36610532,NTRSO
Invesco ETF Tr II-Invesco Preferred ETF,810192,2021-09-29,0.0506,22239770,NTRSO
Invesco ETF Tr-Invesco Financial Preferred ETF,368118,2021-10-30,0.023,10027534,NTRSO
SPDR (R) Ser Tr-SPDR ICE Preferred Securities ETF,272037,2021-09-29,0.017,7467415,NTRSO
Innovator ETF Tr-Innovator S&P Investment Grade Preferred ETF,249454,2021-10-30,0.015600000000000001,6795126,NTRSO
Global X Fds-Global X U.S. Preferred ETF,235777,2021-10-30,0.0147,6422565,NTRSO
First Eagle Global Income Builder Fund,101453,2021-10-30,0.0063,2763579,NTRSO
Fidelity Strategic Dividend & Income Fund,65000,2021-10-30,0.0040999999999999995,1770600,NTRSO
JP Morgan Income Builder Fund,62375,2021-10-30,0.0039000000000000003,1699095,NTRSO
Invesco Multi Asset Income Fund,40326,2021-10-30,0.0025,1098480,NTRSO
