Holder,Shares,Date Reported,% Out,Value,ABV
"Vanguard Group, Inc. (The)",1304931,2021-09-29,0.0433,6224520,ANIX
UBS Group AG,582408,2021-09-29,0.019299999999999998,2778086,ANIX
"Geode Capital Management, LLC",263951,2021-09-29,0.0088,1259046,ANIX
"Renaissance Technologies, LLC",212200,2021-09-29,0.006999999999999999,1012194,ANIX
Blackrock Inc.,110292,2021-09-29,0.0037,526092,ANIX
Bank Of New York Mellon Corporation,98652,2021-09-29,0.0033,470570,ANIX
State Street Corporation,90887,2021-09-29,0.003,433530,ANIX
Northern Trust Corporation,61282,2021-09-29,0.002,292315,ANIX
"Two Sigma Advisers, LP",56538,2021-09-29,0.0019,269686,ANIX
"Two Sigma Investments, LP",52050,2021-09-29,0.0017000000000000001,248278,ANIX
