Holder,Shares,Date Reported,% Out,Value,ABV
"Gabelli Funds, LLC",213800,2021-09-29,0.09970000000000001,3100100,BELFA
Gamco Investors Inc,192400,2021-09-29,0.0897,2789800,BELFA
Dimensional Fund Advisors LP,95194,2021-09-29,0.0444,1380313,BELFA
Oaktree Capital Management Lp,71613,2021-09-29,0.0334,1038388,BELFA
Royce & Associates LP,67705,2021-09-29,0.0316,981722,BELFA
"Renaissance Technologies, LLC",28100,2021-09-29,0.0131,407450,BELFA
Santa Monica Partners LP,23434,2021-09-29,0.0109,339793,BELFA
Nomura Holdings Inc.,22371,2021-09-29,0.0104,324379,BELFA
Investors Asset Management of Georgia,13176,2021-09-29,0.0060999999999999995,191052,BELFA
Morgan Stanley,607,2021-09-29,0.0003,8801,BELFA
