Holder,Shares,Date Reported,% Out,Value,ABV
Thrivent Financial For Lutherans,650129,2021-09-29,0.0863,40041445,UFPT
Wasatch Advisors Inc,473687,2021-09-29,0.0629,29174382,UFPT
"Renaissance Technologies, LLC",459693,2021-09-29,0.061,28312491,UFPT
Blackrock Inc.,453344,2021-09-29,0.0602,27921456,UFPT
"AltraVue Capital, LLC",389331,2021-09-29,0.051699999999999996,23978896,UFPT
"Applied Fundamental Research, LLC",348249,2021-09-29,0.0462,21448655,UFPT
"Vanguard Group, Inc. (The)",336675,2021-09-29,0.0447,20735813,UFPT
Dimensional Fund Advisors LP,291453,2021-09-29,0.0387,17950590,UFPT
"Wellington Management Group, LLP",258001,2021-09-29,0.034300000000000004,15890281,UFPT
"Cove Street Capital, LLC",182082,2021-09-29,0.0242,11214430,UFPT
