0,1,ABV
Net Assets,,UNMA
NAV,,UNMA
PE Ratio (TTM),,UNMA
Yield,,UNMA
YTD Daily Total Return,,UNMA
Beta (5Y Monthly),,UNMA
Expense Ratio (net),,UNMA
Inception Date,,UNMA
