Holder,Shares,Date Reported,% Out,Value,ABV
Glazer Capital LLC,1387133,2021-09-29,0.053,13635517,ISLE
Bleichroeder LP,1000000,2021-09-29,0.0382,9830000,ISLE
Periscope Capital Inc.,916406,2021-09-29,0.035,9008270,ISLE
Magnetar Financial LLC,860506,2021-09-29,0.0329,8458773,ISLE
Polar Asset Management Partners Inc.,850000,2021-09-29,0.0325,8355500,ISLE
Fir Tree Capital Management LLP,750000,2021-09-29,0.0286,7372500,ISLE
Karpus Management Inc,749989,2021-09-29,0.0286,7372391,ISLE
"Goldman Sachs Group, Inc.",743748,2021-09-29,0.028399999999999998,7311042,ISLE
"Shaw D.E. & Co., Inc.",742245,2021-09-29,0.028300000000000002,7296268,ISLE
JP Morgan Chase & Company,672012,2021-09-29,0.025699999999999997,6605877,ISLE
