Holder,Shares,Date Reported,% Out,Value,ABV
Perceptive Advisors Llc,3188750,2021-09-29,0.08,26817387,COGT
Blackrock Inc.,2732235,2021-09-29,0.06860000000000001,22978096,COGT
Janus Henderson Group PLC,2493961,2021-09-29,0.0626,20974212,COGT
Candriam Luxembourg S.C.A.,1927249,2021-09-29,0.0484,16208164,COGT
"Commodore Capital, LP",1912511,2021-09-29,0.048,16084217,COGT
Ally Bridge Group (NY) LLC,1622591,2021-09-29,0.0407,13645990,COGT
"Deerfield Management Company, L.P. (Series C)",1601000,2021-09-29,0.04019999999999999,13464410,COGT
"Vanguard Group, Inc. (The)",1597116,2021-09-29,0.0401,13431745,COGT
Fairmount Funds Management LLC,1558975,2021-09-29,0.0391,13110979,COGT
BVF Inc.,1532282,2021-09-29,0.0385,12886491,COGT
