Holder,Shares,Date Reported,% Out,Value,ABV
Virtu Financial LLC,40796,2021-09-29,0.002,368387,SVSVU
UBS Group AG,21139,2021-12-30,0.0011,225764,SVSVU
Rockefeller Capital Management L.P.,19301,2021-12-30,0.001,206134,SVSVU
Wealth Alliance,10000,2021-12-30,0.0005,106800,SVSVU
Morgan Stanley,2180,2021-12-30,0.0001,23282,SVSVU
